ANIO,SEXO,CV_PCT,TASA_MEDIA,TASA_MIN,TASA_MAX
2005,1,15.77,123.12,74.19,156.17
2005,2,20.92,94.87,57.52,145.2
2006,1,17.43,122.08,65.09,160.4
2006,2,19.74,97.13,60.22,137.28
2007,1,15.22,128.54,87.42,166.02
2007,2,18.47,96.72,68.38,143.66
2008,1,15.9,125.98,79.87,165.74
2008,2,17.49,97.71,72.11,135.94
2009,1,17.87,128.24,84.48,189.27
2009,2,20.09,102.48,72.99,152.58
2010,1,17.36,131.07,93.79,188.01
2010,2,20.15,98.17,67.26,144.95
2011,1,19.35,124.75,82.81,177.47
2011,2,20.62,97.74,65.28,143.21
2012,1,18.68,124.66,75.06,173.09
2012,2,19.68,95.24,71.07,141.89
2013,1,16.92,127.75,88.65,177.19
2013,2,18.98,97.37,73.27,139.16
2014,1,18.49,124.24,83.56,177.13
2014,2,20.69,94.35,66.92,140.84
2015,1,20.48,124.43,83.05,188.66
2015,2,20.74,95.93,71.05,143.63
2016,1,25.35,129.48,76.33,211.89
2016,2,24.05,99.61,69.82,163.09
2017,1,21.8,119.34,85.71,189.08
2017,2,24.38,92.72,56.04,153.29
2018,1,21.44,119.57,74.34,178.81
2018,2,20.04,92.43,64.72,129.58
2019,1,22.33,115.76,74.59,171.79
2019,2,24.01,90.26,65.45,142.27
2020,1,21.86,109.88,74.53,169.3
2020,2,23.86,84.18,52.66,135.41
2021,1,24.35,120.53,72.5,185.11
2021,2,22.47,93.63,60.11,142.74
2022,1,27.71,112.45,73.18,200.11
2022,2,27.62,101.68,67.93,195.19
2023,1,25.85,106.02,70.93,179.51
2023,2,23.81,97.15,67.55,157.04
2024,1,25.8,107.79,68.15,168.85
2024,2,25.49,100.05,64.07,153.25
