ANIO,SEXO,TASA_STD,DEF_EVITABLES,POB_TOTAL,TASA_CRUDA_TOTAL,IC_INF,IC_SUP
2005,0,106.3294,44900.0000,40788453,110.0802,105.3482,107.3176
2005,1,123.2993,24559.5000,19940704,123.1627,121.7620,124.8512
2005,2,91.9192,20340.5000,20847749,97.5669,90.6602,93.1912
2006,0,104.9359,44319.5000,40788453,108.6570,103.9612,105.9175
2006,1,120.9727,24086.0000,19940704,120.7881,119.4497,122.5103
2006,2,91.4228,20233.5000,20847749,97.0536,90.1674,92.6913
2007,0,108.0374,45640.5000,40788453,111.8956,107.0485,109.0332
2007,1,124.9801,24887.5000,19940704,124.8075,123.4321,126.5426
2007,2,93.6535,20753.0000,20847749,99.5455,92.3836,94.9365
2008,0,105.0878,44355.0000,40788453,108.7440,104.1120,106.0704
2008,1,121.0027,24101.0000,19940704,120.8633,119.4797,122.5402
2008,2,91.5718,20254.0000,20847749,97.1520,90.3150,92.8418
2009,0,107.6008,45279.5000,40788453,111.0106,106.6120,108.5966
2009,1,122.0748,24281.0000,19940704,121.7660,120.5441,123.6202
2009,2,95.3633,20998.5000,20847749,100.7231,94.0777,96.6620
2010,0,106.4956,44998.5000,40788453,110.3217,105.5139,107.4842
2010,1,122.9675,24510.0000,19940704,122.9144,121.4327,124.5167
2010,2,92.5512,20488.5000,20847749,98.2768,91.2881,93.8273
2011,0,103.6485,44577.5000,41261490,108.0366,102.6886,104.6153
2011,1,118.5168,24047.0000,20180791,119.1579,117.0235,120.0244
2011,2,91.0503,20530.5000,21080699,97.3900,89.8090,92.3045
2012,0,103.1477,45220.0000,41733271,108.3548,102.1992,104.1029
2012,1,118.7876,24561.5000,20420391,120.2793,117.3066,120.2826
2012,2,89.9870,20658.5000,21312880,96.9297,88.7640,91.2226
2013,0,105.3970,47100.0000,42202935,111.6036,104.4473,106.3532
2013,1,121.2465,25553.0000,20659037,123.6892,119.7644,122.7424
2013,2,91.8996,21547.0000,21543898,100.0144,90.6765,93.1350
2014,0,103.5021,47152.0000,42669500,110.5052,102.5699,104.4406
2014,1,118.9569,25575.0000,20896203,122.3907,117.5033,120.4239
2014,2,90.4005,21577.0000,21773297,99.0985,89.1982,91.6149
2015,0,105.4728,49058.5000,43131966,113.7405,104.5415,106.4103
2015,1,121.8333,26722.5000,21131346,126.4591,120.3769,123.3030
2015,2,91.6718,22336.0000,22000620,101.5244,90.4735,92.8821
2016,0,110.2662,52220.5000,43590368,119.7983,109.3224,111.2161
2016,1,128.0036,28577.0000,21364470,133.7595,126.5237,129.4965
2016,2,95.2644,23643.5000,22225898,106.3782,94.0539,96.4866
2017,0,102.7651,49611.5000,44044811,112.6387,101.8628,103.6734
2017,1,118.2981,26931.0000,21595623,124.7058,116.8894,119.7196
2017,2,89.6987,22680.5000,22449188,101.0304,88.5350,90.8738
2018,0,100.7621,49482.0000,44494502,111.2092,99.8762,101.6539
2018,1,115.8760,26846.0000,21824372,123.0093,114.4939,117.2705
2018,2,87.9960,22636.0000,22670130,99.8494,86.8534,89.1500
2019,0,99.2214,49580.0000,44938712,110.3280,98.3499,100.0987
2019,1,113.7708,26834.0000,22050332,121.6943,112.4136,115.1404
2019,2,86.9849,22746.0000,22888380,99.3779,85.8581,88.1229
2020,0,93.1440,47339.5000,45376763,104.3254,92.3068,93.9869
2020,1,107.8779,25875.0000,22273132,116.1714,106.5673,109.2005
2020,2,80.6842,21464.5000,23103631,92.9053,79.6083,81.7709
2021,0,106.7421,55173.5000,45808747,120.4432,105.8533,107.6366
2021,1,124.2289,30284.0000,22492818,134.6385,122.8336,125.6360
2021,2,91.8685,24889.5000,23315929,106.7489,90.7307,93.0170
2022,0,104.0652,54045.0000,46135579,117.1439,103.1897,104.9463
2022,1,107.2802,29474.5000,23463128,125.6205,106.0589,108.5121
2022,2,100.6082,24570.5000,22672451,108.3716,99.3541,101.8742
2023,0,99.5958,52015.5000,46214462,112.5524,98.7417,100.4555
2023,1,102.0657,28160.0000,23500068,119.8294,100.8770,103.2649
2023,2,97.0007,23855.5000,22714394,105.0237,95.7736,98.2396
2024,0,103.6336,54591.5000,46301743,117.9038,102.7660,104.5066
2024,1,105.5786,29312.0000,23539295,124.5237,104.3733,106.7943
2024,2,101.7158,25279.5000,22762448,111.0579,100.4657,102.9775
