PROVRES,PROV_NOMBRE,n_anios,coef_anio,cambio_pct_anual,p_valor,ic_inf_log,ic_sup_log,converged
2,CABA,20,-0.013672,-1.357901,,,,True
94,Tierra del Fuego,20,-0.006386,-0.636575,,,,True
74,San Luis,20,-0.005705,-0.568831,,,,True
30,Entre Ríos,20,-0.005444,-0.542966,0.001752,-0.008854,-0.002034,True
42,La Pampa,20,-0.005398,-0.538317,,,,True
18,Corrientes,20,-0.004514,-0.450369,0.005020,-0.007667,-0.001361,True
78,Santa Cruz,20,-0.004051,-0.404286,,,,True
70,San Juan,20,-0.003598,-0.359202,0.057645,-0.007314,0.000117,True
66,Salta,20,-0.003353,-0.334738,0.220088,-0.008712,0.002006,True
50,Mendoza,20,-0.002359,-0.235599,,,,True
26,Chubut,20,-0.002102,-0.209993,,,,True
14,Córdoba,20,-0.001663,-0.166195,,,,True
82,Santa Fe,20,0.000799,0.079907,,,,True
38,Jujuy,20,0.003990,0.399755,,,,True
10,Catamarca,20,0.004330,0.433889,,,,True
86,Santiago del Estero,20,0.004604,0.461475,0.015658,0.000870,0.008338,True
6,Buenos Aires,20,0.007736,0.776631,0.000000,0.004796,0.010676,True
46,La Rioja,20,0.008700,0.873796,,,,True
22,Chaco,20,0.008993,0.903344,,,,True
90,Tucumán,20,0.009098,0.913959,,,,True
62,Río Negro,20,0.009528,0.957311,,,,True
58,Neuquén,20,0.012419,1.249643,,,,True
34,Formosa,20,0.013215,1.330280,,,,True
54,Misiones,20,0.019658,1.985246,,,,True
